TeamName,TeamID,Round1,Round2,Sweet16,Elite8,Final4,Final,Champ
Akron,1103,1.0,0.06979219297055737,0.010468622811329065,0.0010067553557998406,9.216986037211473e-05,5.478492251235429e-06,4.2343007117004485e-07
Alabama,1104,1.0,0.6217485300047547,0.19986594508478614,0.07705100657467785,0.016862080145584133,0.005023463036362968,0.0014621513183444926
Arizona,1112,1.0,0.9616611908992693,0.7653736228363968,0.45899342612970995,0.2733068384897765,0.16604884309710996,0.07742197042520325
Arkansas,1116,1.0,0.6499365546591057,0.35025628424117033,0.07425340881158782,0.028705370956294832,0.009725097278957878,0.003276228641174436
Auburn,1120,1.0,0.9261216572684464,0.7089490645965,0.4947628848979037,0.2612035004519151,0.12543690981300018,0.04933215003590541
Baylor,1124,1.0,0.952312695538522,0.7358284601433875,0.4314635587054434,0.2472949387058597,0.1061467645743603,0.057790409832122434
Boise St,1129,1.0,0.4855106359496488,0.06471000247606255,0.029850819970603713,0.009559557141416663,0.002706326226715984,0.0007522874559877829
Bryant,1136,0.4773441702084043,0.01820978684381208,0.0022732949422751662,0.00014262727384016654,8.075732712330802e-06,5.067851417556664e-07,1.8633658654628245e-08
CS Fullerton,1168,1.0,0.06790844056471779,0.011628234910282616,0.001139900491913226,6.405345879972346e-05,4.529730670294498e-06,3.138359309763831e-07
Chattanooga,1151,1.0,0.2577846809801414,0.04821104705623397,0.00962058802652066,0.0018815906230219327,0.00039971672671919697,5.3426309842908444e-05
Colgate,1159,1.0,0.19526285490435072,0.03286766152497159,0.004496402047629042,0.00047459753553919046,3.979847427662252e-05,2.5767764433339015e-06
Colorado St,1161,1.0,0.4859420170128843,0.13086883920112077,0.042603625159935474,0.011328622812080334,0.003523649765507319,0.0007212854936724882
Connecticut,1163,1.0,0.7316404523483602,0.42017969385815523,0.09236334888021121,0.03645922908241508,0.012947071481627897,0.004525430497034263
Creighton,1166,1.0,0.34730029553036845,0.07252706384826932,0.023932969452533186,0.007612114561165596,0.001595282803103222,0.00026365558846847096
Davidson,1172,1.0,0.4777969878797102,0.13582487172394966,0.041336586127911586,0.007653058298222011,0.0018923555323387662,0.00045943520745163243
Delaware,1174,1.0,0.06629285555401519,0.009527674097591617,0.0008844570769469827,6.453709756995137e-05,5.727133623109244e-06,3.023570074972578e-07
Duke,1181,1.0,0.9320915594352822,0.6881463956785793,0.3682665005314027,0.13003835664047766,0.06187949343017554,0.029084747009803687
